"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Middlesbrough","E06000002","Upper tier local authority","2020-03-24",2,10
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-24",5,22
"West Midlands","E12000005","Region","2020-03-24",250,1486
"North Yorkshire","E10000023","Upper tier local authority","2020-03-24",9,65
"Sunderland","E08000024","Upper tier local authority","2020-03-24",18,43
"East Midlands","E12000004","Region","2020-03-24",137,821
"Suffolk","E10000029","Upper tier local authority","2020-03-24",10,72
"Dorset","E06000059","Upper tier local authority","2020-03-24",2,31
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-24",17,106
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-24",1,18
"Northamptonshire","E10000021","Upper tier local authority","2020-03-24",16,98
"Northumberland","E06000057","Upper tier local authority","2020-03-24",8,28
"Gateshead","E08000037","Upper tier local authority","2020-03-24",7,17
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-24",12,83
"Wolverhampton","E08000031","Upper tier local authority","2020-03-24",24,136
"Haringey","E09000014","Upper tier local authority","2020-03-24",19,128
"Kent","E10000016","Upper tier local authority","2020-03-24",37,206
"Merton","E09000024","Upper tier local authority","2020-03-24",23,136
"Doncaster","E08000017","Upper tier local authority","2020-03-24",9,35
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-03-24",5,20
"Central Bedfordshire","E06000056","Upper tier local authority","2020-03-24",8,50
"Bradford","E08000032","Upper tier local authority","2020-03-24",9,35
"Leeds","E08000035","Upper tier local authority","2020-03-24",18,86
"Nottingham","E06000018","Upper tier local authority","2020-03-24",7,63
"Worcestershire","E10000034","Upper tier local authority","2020-03-24",17,109
"Lewisham","E09000023","Upper tier local authority","2020-03-24",15,164
"Bedford","E06000055","Upper tier local authority","2020-03-24",7,30
"South West","E12000009","Region","2020-03-24",68,529
"Devon","E10000008","Upper tier local authority","2020-03-24",6,63
"Wokingham","E06000041","Upper tier local authority","2020-03-24",1,26
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-24",2,17
"Stockport","E08000007","Upper tier local authority","2020-03-24",10,65
"Brent","E09000005","Upper tier local authority","2020-03-24",28,264
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-24",17,114
"Westminster","E09000033","Upper tier local authority","2020-03-24",15,194
"Derbyshire","E10000007","Upper tier local authority","2020-03-24",21,196
"Staffordshire","E10000028","Upper tier local authority","2020-03-24",21,158
"Trafford","E08000009","Upper tier local authority","2020-03-24",10,60
"Wandsworth","E09000032","Upper tier local authority","2020-03-24",28,240
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-24",7,38
"Harrow","E09000015","Upper tier local authority","2020-03-24",26,191
"York","E06000014","Upper tier local authority","2020-03-24",2,16
"Thurrock","E06000034","Upper tier local authority","2020-03-24",2,33
"Gloucestershire","E10000013","Upper tier local authority","2020-03-24",14,79
"Lancashire","E10000017","Upper tier local authority","2020-03-24",41,161
"St. Helens","E08000013","Upper tier local authority","2020-03-24",11,29
"Derby","E06000015","Upper tier local authority","2020-03-24",21,97
"Medway","E06000035","Upper tier local authority","2020-03-24",16,62
"Bristol, City of","E06000023","Upper tier local authority","2020-03-24",4,54
"South East","E12000008","Region","2020-03-24",233,1747
"Southwark","E09000028","Upper tier local authority","2020-03-24",31,284
"Oxfordshire","E10000025","Upper tier local authority","2020-03-24",22,128
"Hounslow","E09000018","Upper tier local authority","2020-03-24",15,128
"Peterborough","E06000031","Upper tier local authority","2020-03-24",2,21
"Lambeth","E09000022","Upper tier local authority","2020-03-24",26,279
"Darlington","E06000005","Upper tier local authority","2020-03-24",2,6
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-03-24",3,26
"Bromley","E09000006","Upper tier local authority","2020-03-24",30,191
"Plymouth","E06000026","Upper tier local authority","2020-03-24",7,26
"Wigan","E08000010","Upper tier local authority","2020-03-24",6,25
"Cumbria","E10000006","Upper tier local authority","2020-03-24",45,228
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-24",6,25
"Manchester","E08000003","Upper tier local authority","2020-03-24",8,66
"Southampton","E06000045","Upper tier local authority","2020-03-24",2,35
"Portsmouth","E06000044","Upper tier local authority","2020-03-24",6,51
"Hertfordshire","E10000015","Upper tier local authority","2020-03-24",45,277
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-24",9,113
"Knowsley","E08000011","Upper tier local authority","2020-03-24",4,16
"North West","E12000002","Region","2020-03-24",254,1250
"Reading","E06000038","Upper tier local authority","2020-03-24",2,28
"Croydon","E09000008","Upper tier local authority","2020-03-24",27,235
"South Tyneside","E08000023","Upper tier local authority","2020-03-24",5,15
"Islington","E09000019","Upper tier local authority","2020-03-24",20,124
"Wakefield","E08000036","Upper tier local authority","2020-03-24",7,33
"Lincolnshire","E10000019","Upper tier local authority","2020-03-24",13,56
"Bury","E08000002","Upper tier local authority","2020-03-24",8,35
"Redbridge","E09000026","Upper tier local authority","2020-03-24",11,106
"Wiltshire","E06000054","Upper tier local authority","2020-03-24",8,55
"Coventry","E08000026","Upper tier local authority","2020-03-24",19,72
"Greenwich","E09000011","Upper tier local authority","2020-03-24",17,132
"Halton","E06000006","Upper tier local authority","2020-03-24",5,13
"Havering","E09000016","Upper tier local authority","2020-03-24",16,84
"East of England","E12000006","Region","2020-03-24",163,954
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-24",5,36
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-03-24",2,11
"Somerset","E10000027","Upper tier local authority","2020-03-24",4,32
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-24",13,76
"Walsall","E08000030","Upper tier local authority","2020-03-24",16,106
"Kirklees","E08000034","Upper tier local authority","2020-03-24",6,34
"County Durham","E06000047","Upper tier local authority","2020-03-24",6,34
"Calderdale","E08000033","Upper tier local authority","2020-03-24",1,10
"Rochdale","E08000005","Upper tier local authority","2020-03-24",7,43
"Solihull","E08000029","Upper tier local authority","2020-03-24",15,45
"Luton","E06000032","Upper tier local authority","2020-03-24",15,57
"London","E12000007","Region","2020-03-24",635,4842
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-24",3,44
"England","E92000001","Country","2020-03-24",2017,13095
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-24",17,88
"Barnsley","E08000016","Upper tier local authority","2020-03-24",16,58
"North East","E12000001","Region","2020-03-24",76,298
"Rotherham","E08000018","Upper tier local authority","2020-03-24",12,50
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-24",3,24
"Rutland","E06000017","Upper tier local authority","2020-03-24",1,2
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-24",16,64
"Slough","E06000039","Upper tier local authority","2020-03-24",7,73
"Salford","E08000006","Upper tier local authority","2020-03-24",16,72
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-24",4,33
"Camden","E09000007","Upper tier local authority","2020-03-24",20,123
"Sandwell","E08000028","Upper tier local authority","2020-03-24",17,112
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-24",2,46
"Waltham Forest","E09000031","Upper tier local authority","2020-03-24",11,102
"Barnet","E09000003","Upper tier local authority","2020-03-24",39,245
"Shropshire","E06000051","Upper tier local authority","2020-03-24",10,54
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-03-24",1,5
"Cheshire East","E06000049","Upper tier local authority","2020-03-24",7,41
"Hackney","E09000012","Upper tier local authority","2020-03-24",20,124
"Sheffield","E08000019","Upper tier local authority","2020-03-24",59,332
"Sefton","E08000014","Upper tier local authority","2020-03-24",7,34
"Wirral","E08000015","Upper tier local authority","2020-03-24",10,38
"Liverpool","E08000012","Upper tier local authority","2020-03-24",25,115
"West Sussex","E10000032","Upper tier local authority","2020-03-24",20,109
"Salford","E08000006","Upper tier local authority","2020-03-25",6,78
"Rotherham","E08000018","Upper tier local authority","2020-03-25",9,59
"Hartlepool","E06000001","Upper tier local authority","2020-03-25",2,5
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-03-25",6,31
"Warwickshire","E10000031","Upper tier local authority","2020-03-25",14,149
"Reading","E06000038","Upper tier local authority","2020-03-25",8,36
"St. Helens","E08000013","Upper tier local authority","2020-03-25",11,40
"Bromley","E09000006","Upper tier local authority","2020-03-25",25,216
"Wirral","E08000015","Upper tier local authority","2020-03-25",6,44
"Middlesbrough","E06000002","Upper tier local authority","2020-03-25",7,17
"North East Lincolnshire","E06000012","Upper tier local authority","2020-03-25",5,15
"East Midlands","E12000004","Region","2020-03-25",116,937
"Devon","E10000008","Upper tier local authority","2020-03-25",15,78
"Wiltshire","E06000054","Upper tier local authority","2020-03-25",5,60
"North Yorkshire","E10000023","Upper tier local authority","2020-03-25",12,77
"South West","E12000009","Region","2020-03-25",104,633
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-25",14,127
"Wolverhampton","E08000031","Upper tier local authority","2020-03-25",11,147
"Camden","E09000007","Upper tier local authority","2020-03-25",22,145
"Worcestershire","E10000034","Upper tier local authority","2020-03-25",22,131
"Norfolk","E10000020","Upper tier local authority","2020-03-25",12,88
"Oldham","E08000004","Upper tier local authority","2020-03-25",14,72
"Redbridge","E09000026","Upper tier local authority","2020-03-25",15,121
"Sunderland","E08000024","Upper tier local authority","2020-03-25",10,53
"Gateshead","E08000037","Upper tier local authority","2020-03-25",1,18
"Somerset","E10000027","Upper tier local authority","2020-03-25",5,37
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-25",11,94
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-25",9,55
"Nottingham","E06000018","Upper tier local authority","2020-03-25",9,72
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-25",23,136
"Merton","E09000024","Upper tier local authority","2020-03-25",23,159
"Cheshire East","E06000049","Upper tier local authority","2020-03-25",12,53
"Harrow","E09000015","Upper tier local authority","2020-03-25",28,219
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-25",5,27
"Sandwell","E08000028","Upper tier local authority","2020-03-25",17,129
"Tameside","E08000008","Upper tier local authority","2020-03-25",4,52
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-25",27,133
"Darlington","E06000005","Upper tier local authority","2020-03-25",3,9
"Central Bedfordshire","E06000056","Upper tier local authority","2020-03-25",6,56
"Knowsley","E08000011","Upper tier local authority","2020-03-25",10,26
"Bradford","E08000032","Upper tier local authority","2020-03-25",7,42
"Lewisham","E09000023","Upper tier local authority","2020-03-25",24,188
"Bedford","E06000055","Upper tier local authority","2020-03-25",6,36
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-25",6,44
"Hounslow","E09000018","Upper tier local authority","2020-03-25",17,145
"Lambeth","E09000022","Upper tier local authority","2020-03-25",36,315
"Dudley","E08000027","Upper tier local authority","2020-03-25",17,109
"Wokingham","E06000041","Upper tier local authority","2020-03-25",2,28
"East Sussex","E10000011","Upper tier local authority","2020-03-25",11,56
"Bury","E08000002","Upper tier local authority","2020-03-25",3,38
"Yorkshire and The Humber","E12000003","Region","2020-03-25",150,951
"Peterborough","E06000031","Upper tier local authority","2020-03-25",1,22
"Portsmouth","E06000044","Upper tier local authority","2020-03-25",14,65
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-03-25",1,12
"Calderdale","E08000033","Upper tier local authority","2020-03-25",4,14
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-03-25",3,8
"Trafford","E08000009","Upper tier local authority","2020-03-25",10,70
"Wandsworth","E09000032","Upper tier local authority","2020-03-25",44,284
"Isle of Wight","E06000046","Upper tier local authority","2020-03-25",1,11
"Newham","E09000025","Upper tier local authority","2020-03-25",33,157
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-25",4,48
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-03-25",3,14
"Surrey","E10000030","Upper tier local authority","2020-03-25",54,379
"Stoke-on-Trent","E06000021","Upper tier local authority","2020-03-25",5,25
"Gloucestershire","E10000013","Upper tier local authority","2020-03-25",24,103
"Leicester","E06000016","Upper tier local authority","2020-03-25",5,69
"North Tyneside","E08000022","Upper tier local authority","2020-03-25",4,31
"Leeds","E08000035","Upper tier local authority","2020-03-25",11,97
"Medway","E06000035","Upper tier local authority","2020-03-25",10,72
"Kent","E10000016","Upper tier local authority","2020-03-25",54,260
"Staffordshire","E10000028","Upper tier local authority","2020-03-25",38,196
"North East","E12000001","Region","2020-03-25",76,374
"Slough","E06000039","Upper tier local authority","2020-03-25",6,79
"West Midlands","E12000005","Region","2020-03-25",240,1726
"England","E92000001","Country","2020-03-25",2262,15357
"Telford and Wrekin","E06000020","Upper tier local authority","2020-03-25",3,25
"Leicestershire","E10000018","Upper tier local authority","2020-03-25",13,144
"Doncaster","E08000017","Upper tier local authority","2020-03-25",10,45
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-03-25",4,30
"West Berkshire","E06000037","Upper tier local authority","2020-03-25",7,40
"Bolton","E08000001","Upper tier local authority","2020-03-25",5,36
"Islington","E09000019","Upper tier local authority","2020-03-25",11,135
"Warrington","E06000007","Upper tier local authority","2020-03-25",1,19
"Birmingham","E08000025","Upper tier local authority","2020-03-25",61,462
"Haringey","E09000014","Upper tier local authority","2020-03-25",12,140
"Manchester","E08000003","Upper tier local authority","2020-03-25",15,81
"Southampton","E06000045","Upper tier local authority","2020-03-25",6,41
"Oxfordshire","E10000025","Upper tier local authority","2020-03-25",15,143
"North West","E12000002","Region","2020-03-25",256,1506
"Northumberland","E06000057","Upper tier local authority","2020-03-25",8,36
"Derbyshire","E10000007","Upper tier local authority","2020-03-25",20,216
"Hertfordshire","E10000015","Upper tier local authority","2020-03-25",56,333
"Enfield","E09000010","Upper tier local authority","2020-03-25",21,178
"Westminster","E09000033","Upper tier local authority","2020-03-25",23,217
"Wigan","E08000010","Upper tier local authority","2020-03-25",6,31
"Sutton","E09000029","Upper tier local authority","2020-03-25",12,107
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-25",5,38
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-25",13,49
"Wakefield","E08000036","Upper tier local authority","2020-03-25",11,44
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-25",19,106
"Lincolnshire","E10000019","Upper tier local authority","2020-03-25",11,67
"South Tyneside","E08000023","Upper tier local authority","2020-03-25",4,19
"Southwark","E09000028","Upper tier local authority","2020-03-25",29,313
"Havering","E09000016","Upper tier local authority","2020-03-25",14,98
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-25",17,131
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-25",13,77
"Greenwich","E09000011","Upper tier local authority","2020-03-25",19,151
"Halton","E06000006","Upper tier local authority","2020-03-25",3,16
"Ealing","E09000009","Upper tier local authority","2020-03-25",35,242
"Northamptonshire","E10000021","Upper tier local authority","2020-03-25",30,128
"Solihull","E08000029","Upper tier local authority","2020-03-25",16,61
"London","E12000007","Region","2020-03-25",751,5593
"South East","E12000008","Region","2020-03-25",304,2051
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-25",17,105
"Thurrock","E06000034","Upper tier local authority","2020-03-25",4,37
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-25",18,132
"East of England","E12000006","Region","2020-03-25",188,1142
"North Somerset","E06000024","Upper tier local authority","2020-03-25",7,28
"Hillingdon","E09000017","Upper tier local authority","2020-03-25",17,148
"Bristol, City of","E06000023","Upper tier local authority","2020-03-25",12,66
"County Durham","E06000047","Upper tier local authority","2020-03-25",13,47
"Milton Keynes","E06000042","Upper tier local authority","2020-03-25",10,81
"Luton","E06000032","Upper tier local authority","2020-03-25",11,68
"West Sussex","E10000032","Upper tier local authority","2020-03-25",23,132
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-25",2,20
"Brent","E09000005","Upper tier local authority","2020-03-25",46,310
"Cumbria","E10000006","Upper tier local authority","2020-03-25",47,275
"Sefton","E08000014","Upper tier local authority","2020-03-25",18,52
"Barnsley","E08000016","Upper tier local authority","2020-03-25",10,68
"Hampshire","E10000014","Upper tier local authority","2020-03-25",43,373
"Shropshire","E06000051","Upper tier local authority","2020-03-25",4,58
"Torbay","E06000027","Upper tier local authority","2020-03-25",1,22
"York","E06000014","Upper tier local authority","2020-03-25",1,17
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-25",2,27
"Walsall","E08000030","Upper tier local authority","2020-03-25",16,122
"North Lincolnshire","E06000013","Upper tier local authority","2020-03-25",3,10
"Coventry","E08000026","Upper tier local authority","2020-03-25",16,88
"Derby","E06000015","Upper tier local authority","2020-03-25",11,108
"Kirklees","E08000034","Upper tier local authority","2020-03-25",10,44
"Stockport","E08000007","Upper tier local authority","2020-03-25",9,74
"Blackpool","E06000009","Upper tier local authority","2020-03-25",1,11
"Lancashire","E10000017","Upper tier local authority","2020-03-25",38,199
"Essex","E10000012","Upper tier local authority","2020-03-25",68,293
"Waltham Forest","E09000031","Upper tier local authority","2020-03-25",24,126
"Dorset","E06000059","Upper tier local authority","2020-03-25",3,34
"Croydon","E09000008","Upper tier local authority","2020-03-25",43,278
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-25",15,91
"Plymouth","E06000026","Upper tier local authority","2020-03-25",3,29
"Rochdale","E08000005","Upper tier local authority","2020-03-25",7,50
"Hackney","E09000012","Upper tier local authority","2020-03-25",16,140
"Barnet","E09000003","Upper tier local authority","2020-03-25",45,290
"Sheffield","E08000019","Upper tier local authority","2020-03-25",48,380
"Swindon","E06000030","Upper tier local authority","2020-03-25",3,22
"Suffolk","E10000029","Upper tier local authority","2020-03-25",5,77
"Liverpool","E08000012","Upper tier local authority","2020-03-25",24,139
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-25",2,19
"Bexley","E09000004","Upper tier local authority","2020-03-25",19,112
"Nottingham","E06000018","Upper tier local authority","2020-03-26",16,88
"Liverpool","E08000012","Upper tier local authority","2020-03-26",34,173
"Wirral","E08000015","Upper tier local authority","2020-03-26",11,55
"Central Bedfordshire","E06000056","Upper tier local authority","2020-03-26",8,64
"Sefton","E08000014","Upper tier local authority","2020-03-26",12,64
"Barnet","E09000003","Upper tier local authority","2020-03-26",55,345
"Hackney","E09000012","Upper tier local authority","2020-03-26",23,163
"Waltham Forest","E09000031","Upper tier local authority","2020-03-26",34,160
"Sheffield","E08000019","Upper tier local authority","2020-03-26",47,427
"Isle of Wight","E06000046","Upper tier local authority","2020-03-26",1,12
"Cheshire East","E06000049","Upper tier local authority","2020-03-26",10,63
"Walsall","E08000030","Upper tier local authority","2020-03-26",19,141
"Luton","E06000032","Upper tier local authority","2020-03-26",9,77
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-03-26",3,11
"London","E12000007","Region","2020-03-26",762,6355
"East of England","E12000006","Region","2020-03-26",215,1357
"Barnsley","E08000016","Upper tier local authority","2020-03-26",21,89
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-26",5,60
"Sandwell","E08000028","Upper tier local authority","2020-03-26",14,143
"Greenwich","E09000011","Upper tier local authority","2020-03-26",11,162
"Halton","E06000006","Upper tier local authority","2020-03-26",2,18
"Camden","E09000007","Upper tier local authority","2020-03-26",28,173
"Wokingham","E06000041","Upper tier local authority","2020-03-26",5,33
"Lincolnshire","E10000019","Upper tier local authority","2020-03-26",23,90
"Shropshire","E06000051","Upper tier local authority","2020-03-26",14,72
"Wakefield","E08000036","Upper tier local authority","2020-03-26",14,58
"Manchester","E08000003","Upper tier local authority","2020-03-26",22,103
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-26",5,43
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-03-26",5,35
"Salford","E08000006","Upper tier local authority","2020-03-26",18,96
"Slough","E06000039","Upper tier local authority","2020-03-26",12,91
"Gloucestershire","E10000013","Upper tier local authority","2020-03-26",15,118
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-26",13,90
"Trafford","E08000009","Upper tier local authority","2020-03-26",15,85
"Wandsworth","E09000032","Upper tier local authority","2020-03-26",32,316
"Rutland","E06000017","Upper tier local authority","2020-03-26",1,3
"Medway","E06000035","Upper tier local authority","2020-03-26",11,83
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-26",1,25
"Rotherham","E08000018","Upper tier local authority","2020-03-26",16,75
"Lewisham","E09000023","Upper tier local authority","2020-03-26",25,213
"Bedford","E06000055","Upper tier local authority","2020-03-26",9,45
"City of London","E09000001","Upper tier local authority","2020-03-26",1,6
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-26",12,117
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-26",34,167
"Merton","E09000024","Upper tier local authority","2020-03-26",14,173
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-26",11,59
"North East","E12000001","Region","2020-03-26",97,471
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-26",7,101
"Solihull","E08000029","Upper tier local authority","2020-03-26",17,78
"Gateshead","E08000037","Upper tier local authority","2020-03-26",10,28
"Middlesbrough","E06000002","Upper tier local authority","2020-03-26",7,24
"England","E92000001","Country","2020-03-26",2610,17967
"Bexley","E09000004","Upper tier local authority","2020-03-26",11,123
"Rochdale","E08000005","Upper tier local authority","2020-03-26",15,65
"Calderdale","E08000033","Upper tier local authority","2020-03-26",6,20
"Essex","E10000012","Upper tier local authority","2020-03-26",62,355
"County Durham","E06000047","Upper tier local authority","2020-03-26",14,61
"Torbay","E06000027","Upper tier local authority","2020-03-26",5,27
"Milton Keynes","E06000042","Upper tier local authority","2020-03-26",7,88
"Kirklees","E08000034","Upper tier local authority","2020-03-26",11,55
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-26",12,103
"Thurrock","E06000034","Upper tier local authority","2020-03-26",10,47
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-26",24,156
"Wiltshire","E06000054","Upper tier local authority","2020-03-26",7,67
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-26",19,125
"Somerset","E10000027","Upper tier local authority","2020-03-26",7,44
"Hillingdon","E09000017","Upper tier local authority","2020-03-26",20,168
"Redcar and Cleveland","E06000003","Upper tier local authority","2020-03-26",6,20
"Enfield","E09000010","Upper tier local authority","2020-03-26",15,193
"Birmingham","E08000025","Upper tier local authority","2020-03-26",92,554
"Warrington","E06000007","Upper tier local authority","2020-03-26",3,22
"Havering","E09000016","Upper tier local authority","2020-03-26",11,109
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-26",4,53
"Coventry","E08000026","Upper tier local authority","2020-03-26",19,107
"Bury","E08000002","Upper tier local authority","2020-03-26",14,52
"Redbridge","E09000026","Upper tier local authority","2020-03-26",15,136
"South Tyneside","E08000023","Upper tier local authority","2020-03-26",2,21
"Leicestershire","E10000018","Upper tier local authority","2020-03-26",16,160
"Telford and Wrekin","E06000020","Upper tier local authority","2020-03-26",6,31
"Wolverhampton","E08000031","Upper tier local authority","2020-03-26",13,160
"Newham","E09000025","Upper tier local authority","2020-03-26",38,195
"Islington","E09000019","Upper tier local authority","2020-03-26",8,143
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-03-26",2,14
"Croydon","E09000008","Upper tier local authority","2020-03-26",44,322
"Yorkshire and The Humber","E12000003","Region","2020-03-26",180,1131
"Reading","E06000038","Upper tier local authority","2020-03-26",7,43
"East Sussex","E10000011","Upper tier local authority","2020-03-26",14,70
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-26",10,146
"Knowsley","E08000011","Upper tier local authority","2020-03-26",7,33
"Tameside","E08000008","Upper tier local authority","2020-03-26",8,60
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-26",22,149
"Norfolk","E10000020","Upper tier local authority","2020-03-26",26,114
"Portsmouth","E06000044","Upper tier local authority","2020-03-26",5,70
"North East Lincolnshire","E06000012","Upper tier local authority","2020-03-26",3,18
"Southampton","E06000045","Upper tier local authority","2020-03-26",15,56
"North West","E12000002","Region","2020-03-26",357,1863
"East Riding of Yorkshire","E06000011","Upper tier local authority","2020-03-26",3,34
"Warwickshire","E10000031","Upper tier local authority","2020-03-26",28,177
"Hertfordshire","E10000015","Upper tier local authority","2020-03-26",49,382
"Wigan","E08000010","Upper tier local authority","2020-03-26",15,46
"Swindon","E06000030","Upper tier local authority","2020-03-26",5,27
"Blackpool","E06000009","Upper tier local authority","2020-03-26",4,15
"North Lincolnshire","E06000013","Upper tier local authority","2020-03-26",3,13
"York","E06000014","Upper tier local authority","2020-03-26",1,18
"Cumbria","E10000006","Upper tier local authority","2020-03-26",50,325
"Hampshire","E10000014","Upper tier local authority","2020-03-26",56,429
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-26",8,35
"North Somerset","E06000024","Upper tier local authority","2020-03-26",3,31
"Plymouth","E06000026","Upper tier local authority","2020-03-26",9,38
"Hartlepool","E06000001","Upper tier local authority","2020-03-26",1,6
"Bromley","E09000006","Upper tier local authority","2020-03-26",29,245
"Ealing","E09000009","Upper tier local authority","2020-03-26",30,272
"Hounslow","E09000018","Upper tier local authority","2020-03-26",15,160
"Sutton","E09000029","Upper tier local authority","2020-03-26",13,120
"Bolton","E08000001","Upper tier local authority","2020-03-26",6,42
"Darlington","E06000005","Upper tier local authority","2020-03-26",3,12
"Lambeth","E09000022","Upper tier local authority","2020-03-26",43,358
"West Midlands","E12000005","Region","2020-03-26",313,2039
"Peterborough","E06000031","Upper tier local authority","2020-03-26",4,26
"Surrey","E10000030","Upper tier local authority","2020-03-26",55,434
"Oxfordshire","E10000025","Upper tier local authority","2020-03-26",26,169
"Leicester","E06000016","Upper tier local authority","2020-03-26",13,82
"North Tyneside","E08000022","Upper tier local authority","2020-03-26",6,37
"Southwark","E09000028","Upper tier local authority","2020-03-26",32,345
"South East","E12000008","Region","2020-03-26",320,2371
"Dudley","E08000027","Upper tier local authority","2020-03-26",24,133
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-26",9,36
"Bristol, City of","E06000023","Upper tier local authority","2020-03-26",14,80
"Derby","E06000015","Upper tier local authority","2020-03-26",8,116
"East Midlands","E12000004","Region","2020-03-26",154,1091
"St. Helens","E08000013","Upper tier local authority","2020-03-26",12,52
"Sunderland","E08000024","Upper tier local authority","2020-03-26",11,64
"North Yorkshire","E10000023","Upper tier local authority","2020-03-26",12,89
"West Berkshire","E06000037","Upper tier local authority","2020-03-26",4,44
"Lancashire","E10000017","Upper tier local authority","2020-03-26",63,262
"Oldham","E08000004","Upper tier local authority","2020-03-26",14,86
"Harrow","E09000015","Upper tier local authority","2020-03-26",30,249
"Suffolk","E10000029","Upper tier local authority","2020-03-26",18,95
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-26",9,53
"Dorset","E06000059","Upper tier local authority","2020-03-26",10,44
"Staffordshire","E10000028","Upper tier local authority","2020-03-26",38,234
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-26",3,23
"Derbyshire","E10000007","Upper tier local authority","2020-03-26",20,236
"Northamptonshire","E10000021","Upper tier local authority","2020-03-26",21,149
"Westminster","E09000033","Upper tier local authority","2020-03-26",20,237
"Northumberland","E06000057","Upper tier local authority","2020-03-26",12,48
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-26",36,167
"Brent","E09000005","Upper tier local authority","2020-03-26",44,354
"Haringey","E09000014","Upper tier local authority","2020-03-26",9,149
"Stockport","E08000007","Upper tier local authority","2020-03-26",15,89
"Doncaster","E08000017","Upper tier local authority","2020-03-26",9,54
"West Sussex","E10000032","Upper tier local authority","2020-03-26",20,152
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-26",6,25
"Devon","E10000008","Upper tier local authority","2020-03-26",15,93
"South West","E12000009","Region","2020-03-26",119,752
"Leeds","E08000035","Upper tier local authority","2020-03-26",21,118
